"name_1006","GO_IDs","F0","F4","Healthy"
"mitotic spindle","GO:0072686","P07437, Q9BUF5, Q00610","P07437, Q9BUF5","P07437, Q9BUF5"
"mitotic spindle disassembly","GO:0051228","P55072","P55072","P55072"
"mitotic spindle microtubule","GO:1990498","Q00610",NA,NA
"modification-dependent protein catabolic process","GO:0019941","P62979","P62979","P62979"
"modulation by host of viral process","GO:0044788","P49327","P49327","P49327"
"modulation of chemical synaptic transmission","GO:0050804","Q9NQC3","Q9NQC3","Q9NQC3"
"molecular adaptor activity","GO:0060090","P08670, Q03135","P08670, Q03135","P08670, Q03135"
"molecular carrier activity","GO:0140104","P02768","P02768","P02768"
"monoacylglycerol lipase activity","GO:0047372","Q05469",NA,NA
"monoatomic anion transmembrane transporter activity","GO:0008509",NA,"P02730",NA
"monoatomic anion transport","GO:0006820",NA,"P02730",NA
"monoatomic ion transmembrane transport","GO:0034220","P08133","P08133","O14983"
"monoatomic ion transport","GO:0006811","P02788","P02788, P02730","P02788, O14983"
"monocyte differentiation","GO:0030224","P49327","P49327","P49327"
"monocyte extravasation","GO:0035696",NA,"P20160","P20160"
"monomeric IgA immunoglobulin complex","GO:0071748","P01876","P01876, P01619, P01591","P01876, P01619, P01591"
"monooxygenase activity","GO:0004497","P00439",NA,NA
"morphogenesis of an epithelium","GO:0002009","P13645","P35527, P13645","P35527, P13645"
"motile cilium","GO:0031514","P04083","P04083",NA
"multicellular organism growth","GO:0035264","P84243","P84243","P84243"
"multicellular organismal locomotion","GO:0071965","P12109","P12109","P12109"
"multivesicular body","GO:0005771",NA,"P08962",NA
"multivesicular body, internal vesicle","GO:0097487",NA,"P08962",NA
"muscle cell apoptotic process","GO:0010657","P12109","P12109","P12109"
"muscle cell cellular homeostasis","GO:0046716","Q03135","Q03135","Q03135"
"muscle cell development","GO:0055001","P12109","P12109","P12109"
"muscle cell differentiation","GO:0042692","P84243","P84243","P84243"
"muscle contraction","GO:0006936","P02511","P02511","P05976, Q9Y623, P13535, Q9UKX3, P02511, P12882"
"muscle filament sliding","GO:0030049",NA,NA,"P05976, Q9Y623, P13535, P09493"
"muscle myosin complex","GO:0005859",NA,NA,"P05976, Q9Y623, P13535, Q9UKX3, P12882"
"muscle organ development","GO:0007517","P02511, P12109, P12111","P02511, P12109, P12111","P02511, P12109, P12111"
"muscle structure development","GO:0061061","P12109","P12109","P12109"
"muscle system process","GO:0003012","P12109","P12109","P12109"
"muscle thin filament tropomyosin","GO:0005862",NA,NA,"P09493"
"myelin sheath adaxonal region","GO:0035749","P07355","P07355","P07355"
"myelination in peripheral nervous system","GO:0022011","P12109","P12109","P12109"
"myoblast migration involved in skeletal muscle regeneration","GO:0014839","P04083","P04083",NA
"myofibril","GO:0030016","P12109, P60900","P12109, P60900","P05976, Q9Y623, P13535, Q9UKX3, P12882, P12109, P60900"
"myosin II complex","GO:0016460",NA,NA,"P05976, Q9Y623, P13535, Q9UKX3, P12882"
"myosin binding","GO:0017022",NA,NA,"P68032"
"myosin complex","GO:0016459","O00159","O00159","P05976, Q9Y623, P13535, Q9UKX3, P12882, O00159"
"myosin filament","GO:0032982","P63267","P63267","Q9Y623, P13535, P63267, Q9UKX3, P12882"
"myosin light chain binding","GO:0032027",NA,NA,"P13535"
"negative chemotaxis","GO:0050919","P02647",NA,"P02647"
"negative regulation by host of viral process","GO:0044793","P02788","P02788","P02788"
"negative regulation of ATP-dependent activity","GO:0032780","P02788","P02788","P02788"
"negative regulation of BMP signaling pathway","GO:0030514","Q03135","Q03135","Q03135"
"negative regulation of DNA-templated transcription","GO:0045892","P02511","P02511","P02511"
"negative regulation of MAPK cascade","GO:0043409","Q03135","Q03135","Q03135"
"negative regulation of T cell receptor signaling pathway","GO:0050860",NA,"P04216",NA
"negative regulation of amyloid fibril formation","GO:1905907","P02511","P02511","P02511"
"negative regulation of amyloid-beta formation","GO:1902430","Q9NQC3, O95197","Q9NQC3, O95197","Q9NQC3"
"negative regulation of angiogenesis","GO:0016525","P98160, P07585","P98160, P16671, P07585","P98160, P07585"
"negative regulation of anoikis","GO:2000811","Q03135","Q03135","Q03135"
"negative regulation of apoptotic process","GO:0043066","P02511, P02788, P05164, P08758, P04040, P04083, P05783","P05164, P02788, P02511, P08758, P04040, P04083, P20160","P02511, P05164, P02788, P04040, P68032, P08758, P05783, P20160"
"negative regulation of autophagy","GO:0010507","P02751","P02751","P02751"
"negative regulation of axon extension","GO:0030517","Q9NQC3","Q9NQC3","Q9NQC3"
"negative regulation of axonogenesis","GO:0050771",NA,"P04216",NA
"negative regulation of blood coagulation","GO:0030195",NA,"P04004",NA
"negative regulation of canonical Wnt signaling pathway","GO:0090090","Q03135","Q03135","Q03135"
"negative regulation of cell adhesion","GO:0007162","P98160, P07942","P98160, P07942","P98160, P07942"
"negative regulation of cell adhesion molecule production","GO:0060354","P02647",NA,"P02647"
"negative regulation of cell cycle G2/M phase transition","GO:1902750","O75367","O75367",NA
"negative regulation of cell growth","GO:0030308","P02511, Q9NQC3","P02511, Q9NQC3","P02511, Q9NQC3"
"negative regulation of cell migration","GO:0030336",NA,"P04216","P09493"
"negative regulation of cell population proliferation","GO:0008285","P02794, P98160, Q03135","P02794, Q03135, P98160","P02794, P98160, Q03135"
"negative regulation of chemokine production","GO:0032682",NA,"P08246","P08246"
"negative regulation of chemotaxis","GO:0050922",NA,"P08246","P08246"
"negative regulation of chromosome condensation","GO:1902340","P84243","P84243","P84243"
"negative regulation of coagulation","GO:0050819","P08758","P08758","P08758"
"negative regulation of complement activation, lectin pathway","GO:0001869","P01023","P01023","P01023"
"negative regulation of cytokine production involved in immune response","GO:0002719","P02647",NA,"P02647"
"negative regulation of cytokine-mediated signaling pathway","GO:0001960","Q03135","Q03135","Q03135"
"negative regulation of endoplasmic reticulum calcium ion concentration","GO:0032471",NA,NA,"O14983"
"negative regulation of endothelial cell apoptotic process","GO:2000352","P02675, P02679, P02671","P02675, P02679, P02671","P02675, P02679, P02671"
"negative regulation of endothelial cell migration","GO:0010596","P07585","P07585","P07585"
"negative regulation of endothelial cell proliferation","GO:0001937","Q03135","Q03135","Q03135"
"negative regulation of epidermal growth factor receptor signaling pathway","GO:0042059","Q14764","Q14764",NA
"negative regulation of epithelial cell differentiation","GO:0030857","Q03135","Q03135","Q03135"
"negative regulation of epithelial cell migration","GO:0010633",NA,"P08962",NA
"negative regulation of exocytosis","GO:0045920","P04083","P04083",NA
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902042","P02675, P02679, P02671","P02675, P02679, P02671","P02675, P02679, P02671"
"negative regulation of ferroptosis","GO:0110076","P02794","P02794","P02794"
"negative regulation of fibrinolysis","GO:0051918",NA,"P04004",NA
"negative regulation of fibroblast proliferation","GO:0048147","P02794, Q03135","P02794, Q03135","P02794, Q03135"
"negative regulation of gene expression","GO:0010629","P02511","P02511, P16671","P02511"
"negative regulation of gene expression, epigenetic","GO:0045814","O75367","O75367",NA
"negative regulation of glycolytic process through fructose-6-phosphate","GO:1904539",NA,"P02730",NA
"negative regulation of heterotypic cell-cell adhesion","GO:0034115","P02647",NA,"P02647"
"negative regulation of hippo signaling","GO:0035331","P55072","P55072","P55072"
"negative regulation of hyaluronan biosynthetic process","GO:1900126","Q00610",NA,NA
"negative regulation of hydrogen peroxide catabolic process","GO:2000296","P00738","P00738","P00738"
"negative regulation of inflammatory response","GO:0050728","P04264, P02647","P08246, P04264","P08246, P04264, P02647"
"negative regulation of inflammatory response to antigenic stimulus","GO:0002862","P25786, P28070","P28070, P25786","P25786, P28070"
"negative regulation of intracellular transport","GO:0032387","P02511","P02511","P02511"
"negative regulation of leukocyte cell-cell adhesion","GO:1903038","P00966",NA,"P00966"
"negative regulation of lipopolysaccharide-mediated signaling pathway","GO:0031665","P02788","P02788","P02788"
"negative regulation of metabolic process","GO:0009892","P02511","P02511","P02511"
"negative regulation of mitochondrial depolarization","GO:0051902","P02768","P02768","P02768"
"negative regulation of monocyte activation","GO:0150102","P02751","P02751","P02751"
"negative regulation of necroptotic process","GO:0060546","Q03135","Q03135","Q03135"
"negative regulation of neuron projection development","GO:0010977","P08670","P08670","P08670"
"negative regulation of neuron projection regeneration","GO:0070571",NA,"P04216",NA
"negative regulation of nitric oxide biosynthetic process","GO:0045019","Q03135","Q03135","Q03135"
"negative regulation of osteoclast development","GO:2001205","P02788","P02788","P02788"
"negative regulation of pinocytosis","GO:0048550","Q03135","Q03135","Q03135"
"negative regulation of potassium ion transmembrane transport","GO:1901380","Q03135","Q03135","Q03135"
"negative regulation of protein autophosphorylation","GO:0031953","Q14764","Q14764",NA
"negative regulation of protein kinase activity","GO:0006469",NA,"P04216",NA
"negative regulation of protein localization to chromosome, telomeric region","GO:1904815","O75367","O75367",NA
"negative regulation of protein localization to plasma membrane","GO:1903077","Q00610",NA,NA
"negative regulation of protein tyrosine kinase activity","GO:0061099","Q14764","Q14764",NA
"negative regulation of protein ubiquitination","GO:0031397","Q03135","Q03135","Q03135"
"negative regulation of protein-containing complex assembly","GO:0031333","P02511","P02511","P02511"
"negative regulation of proteolysis","GO:0045861",NA,"P04004",NA
"negative regulation of reactive oxygen species metabolic process","GO:2000378","P02511","P02511","P02511"
"negative regulation of receptor internalization","GO:0002091","P07355","P07355","P07355"
"negative regulation of receptor signaling pathway via JAK-STAT","GO:0046426","Q03135","Q03135","Q03135"
"negative regulation of response to cytokine stimulus","GO:0060761","P02647",NA,"P02647"
"negative regulation of response to oxidative stress","GO:1902883","O75367","O75367",NA
"negative regulation of sequestering of calcium ion","GO:0051283","P08133","P08133",NA
"negative regulation of signal transduction","GO:0009968","Q03135","Q03135","Q03135"
"negative regulation of single-species biofilm formation in or on host organism","GO:1900229","P02788","P02788","P02788"
"negative regulation of smoothened signaling pathway","GO:0045879","P55072","P55072","P55072"
"negative regulation of striated muscle contraction","GO:0045988",NA,NA,"O14983"
"negative regulation of transcription by RNA polymerase II","GO:0000122","Q03135, O75367","P08246, Q03135, O75367, P16671","P08246, Q03135"
"negative regulation of transcription of nucleolar large rRNA by RNA polymerase I","GO:1901837","O75367","O75367",NA
"negative regulation of transforming growth factor beta production","GO:0071635","P02751","P02751","P02751"
"negative regulation of transport","GO:0051051","P07355, P04083","P07355, P04083","P07355"
"negative regulation of tumor necrosis factor (ligand) superfamily member 11 production","GO:2000308","P02788","P02788","P02788"
"negative regulation of urine volume","GO:0035811",NA,"P02730",NA
"negative regulation of vascular associated smooth muscle cell migration","GO:1904753",NA,NA,"P09493"
"negative regulation of vascular associated smooth muscle cell proliferation","GO:1904706",NA,NA,"P09493"
"negative regulation of vascular endothelial growth factor signaling pathway","GO:1900747","P07585","P07585","P07585"
"negative regulation of vasculogenesis","GO:2001213","Q9NQC3","Q9NQC3","Q9NQC3"
"negative regulation of viral genome replication","GO:0045071","P02788","P02788","P02788"
"negative regulation of viral process","GO:0048525","P02788","P02788","P02788"
"nervous system development","GO:0007399","Q9NQC3, P02751","Q9NQC3, P02751","Q9NQC3, P02751"
"nervous system process","GO:0050877","P12109","P12109","P12109"
"neural crest cell migration involved in autonomic nervous system development","GO:1901166","P02751","P02751","P02751"
"neuromuscular junction","GO:0031594","P55268",NA,"P55268"
"neuromuscular junction development","GO:0007528","P55268",NA,"P55268"
"neuron apoptotic process","GO:0051402","P12110, P12109, P12111","P12110, P12109, P12111","P12110, P12109, P12111"
"neuron differentiation","GO:0030182","Q9NQC3, O95197","Q9NQC3, O95197","Q9NQC3"
"neuron projection","GO:0043005","P08670, Q9NQC3, P98160, O95197","Q9NQC3, P08670, P98160, O95197","P08670, Q9NQC3, P98160"
"neuron projection development","GO:0031175","P08670, P07942, P55268","P08670, P07942","P08670, P07942, P55268"
"neuronal cell body","GO:0043025","P00966",NA,"P00966"
"neuronal-glial interaction involved in cerebral cortex radial glia guided migration","GO:0021812","P07942","P07942","P07942"
"neutrophil clearance","GO:0097350","P04083","P04083",NA
"neutrophil differentiation","GO:0030223","P49327","P49327","P49327"
"neutrophil homeostasis","GO:0001780","P04083","P04083",NA
"neutrophil-mediated killing of bacterium","GO:0070944",NA,"P20160","P20160"
"neutrophil-mediated killing of fungus","GO:0070947",NA,"P08246","P08246"
"neutrophil-mediated killing of gram-negative bacterium","GO:0070945",NA,"P08246","P08246"
"nitric oxide biosynthetic process","GO:0006809","Q03135","Q03135","Q03135"
"nitric oxide metabolic process","GO:0046209","Q03135","Q03135","Q03135"
"nitric oxide transport","GO:0030185","P68871, P69905","P68871, P69905","P68871, P69905"
"nitric-oxide synthase binding","GO:0050998","Q03135","Q03135","Q03135"
"nuclear body","GO:0016604","O00159","O00159","O00159"
"nuclear chromosome","GO:0000228","O75367","O75367",NA
"nuclear envelope","GO:0005635","Q9NQC3","Q9NQC3","Q9NQC3"
"nuclear envelope lumen","GO:0005641","P07437","P07437","P07437"
"nuclear pore","GO:0005643","Q14764","Q14764",NA
"nuclear pore complex assembly","GO:0051292","Q9NQC3","Q9NQC3","Q9NQC3"
"nuclear speck","GO:0016607","P16104","P16104","P16104"
"nucleic acid binding","GO:0003676","Q9NZN4","Q9NZN4","Q9NZN4"
"nucleolus","GO:0005730","P62979, O00159, O75367, P05783","P62979, O75367, O00159","P62979, O00159, P05783"
"nucleoplasm","GO:0005654","P62805, P16104, Q5TEC6, P84243, P02511, P00326, P00966, P05164, P60900, P00325, O14818, P62979, P25789, P25786, O00159, P49721, P28070, P28066, P20618, P55072, P04083, O75367, P25788, P49720, P25787","P62805, P16104, Q5TEC6, P84243, P05164, P02511, P62979, P00326, P60900, O75367, O14818, P00325, P25789, P28070, O00159, P55072, P04083, P49721, P08962, P25786, P20618, P28066, P25788","P16104, P62805, Q5TEC6, P84243, P02511, P00966, P05164, P00326, P60900, O14818, P25789, P25786, P28070, P28066, P62979, O00159, P28072, P49721, P20618, P00325, P55072"
"nucleosomal DNA binding","GO:0031492","P84243, O75367","P84243, O75367","P84243"
"nucleosome","GO:0000786","P62805, P16104, Q5TEC6, P84243, O75367","P62805, P16104, Q5TEC6, P84243, O75367, Q8IUE6","P16104, P62805, Q5TEC6, P84243"
"nucleosome assembly","GO:0006334","P62805, P16104, P84243, O75367","P62805, P16104, P84243, O75367","P16104, P62805, P84243"
"nucleotide binding","GO:0000166","P63267, Q562R1, Q9BQE3, P00966, P68366, Q9NZN4, P07437, Q9BUF5, P33121, O00159, Q8IYT4, Q00266, Q05639, P55072","P63267, Q562R1, Q9BQE3, P68366, Q9NZN4, Q8IYT4, O00159, P55072, P07437, Q9BUF5, P33121","Q9Y623, P13535, P63267, Q9UKX3, P00966, P12882, Q562R1, P06732, Q9BQE3, P68032, Q9NZN4, P68366, O14983, Q8IYT4, O00159, P07437, Q9BUF5, P55072"
"nucleotidyltransferase activity","GO:0016779",NA,NA,"Q16851"
"nucleus","GO:0005634","P62805, P16104, Q5TEC6, P84243, P02768, P02794, P02511, P07355, P08670, Q9BQE3, P02788, Q9NZN4, P05164, P60900, O14818, P62979, P04264, P25789, P07942, P25786, P07437, Q9BUF5, O00159, P49721, P28070, P28066, P20618, P13645, Q9ULA0, P55072, Q14764, P04083, O75367, P05783, P00338, P25788, P08133, P49720, P25787","P62805, P16104, Q5TEC6, P84243, P02794, P02768, P05164, P02788, P02511, P62979, P07355, P04264, P08670, Q9BQE3, P60900, P35527, O75367, Q8IUE6, Q14764, O14818, Q9NZN4, P08133, P25789, P13645, P07942, P28070, O00159, P55072, P07437, P04083, Q9BUF5, P49721, P25786, P20618, P28066, P25788","P16104, P62805, Q5TEC6, P84243, P02768, P02794, P02511, P05164, P02788, P08670, P04264, Q9BQE3, P07355, P35527, P60900, P13645, Q9NZN4, O14818, P07942, P25789, P25786, P28070, P28066, P62979, A2RUB1, O00159, P07437, P28072, P49721, P00338, P05783, P20618, Q16851, Q9BUF5, P55072"
"nucleus organization","GO:0006997","P84243","P84243","P84243"
"odontoblast differentiation","GO:0071895","P07437","P07437","P07437"
"odontogenesis","GO:0042476","P07942","P07942","P07942"
"oleate transmembrane transporter activity","GO:1901480",NA,"P16671",NA
"oleoyl-CoA ligase activity","GO:0090434","P33121","P33121",NA
"oligodendrocyte differentiation","GO:0048709",NA,"P04004",NA
"one-carbon metabolic process","GO:0006730","Q00266",NA,NA
"oocyte development","GO:0048599",NA,NA,"A2RUB1"
"oocyte maturation","GO:0001556","P84243","P84243","P84243"
"oogenesis","GO:0048477","P84243","P84243","P84243"
"ossification","GO:0001503","P02788, P12109","P02788, P12109","P02788, P12109"
"osteoblast differentiation","GO:0001649","P84243, P49327, P12109, P04040, Q00610, P13611","P84243, P49327, P12109, P04040, P13611","P84243, P12109, P49327, P04040, P13611"
"oxidised low-density lipoprotein particle clearance","GO:0150024",NA,"P16671",NA
"oxidised low-density lipoprotein particle receptor activity","GO:0150025",NA,"P16671",NA
"oxidoreductase activity","GO:0016491","Q16853, P02794, P49327, P00326, P05164, P04040, P00325, P00439, O75874, P07195, P00338","Q16853, P02794, P05164, P00326, P49327, P04040, P00325","P02794, P05164, Q16853, P49327, P04040, P00326, P07195, P00338, P00325"
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen","GO:0016714","P00439",NA,NA
"oxidoreductase activity, acting on peroxide as acceptor","GO:0016684","P04040","P04040","P04040"
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","O75874, P07195, P00338",NA,"P07195, P00338"
"oxidoreductase complex","GO:1990204","P07195, P00338",NA,"P07195, P00338"
"oxygen binding","GO:0019825","P68871, P69905, P02768","P68871, P69905, P02768","P68871, P69905, P02768"
"oxygen carrier activity","GO:0005344","P68871, P69905","P68871, P69905","P68871, P69905"
"oxygen transport","GO:0015671","P68871, P69905","P68871, P69905","P68871, P69905"
"oxysterol binding","GO:0008142","Q03135, P07099","Q03135, P07099","P07099, Q03135"
"palmitoyl-CoA ligase activity","GO:0090433","P33121","P33121",NA
"patched binding","GO:0005113","Q03135","Q03135","Q03135"
"pentameric IgM immunoglobulin complex","GO:0071756","P01871","P01871, P01619, P01591","P01871, P01619, P01591"
"peptidase activator activity","GO:0016504","Q03135, P02751","Q03135, P02751","Q03135, P02751"
"peptidase activity","GO:0008233","P02788, Q9ULA0","P02788, P08246, P20160","P02788, P08246, P28072, P20160"
"peptidase inhibitor activity","GO:0030414","P01023, P12111","P01023, P12111","P01023, P12111"
"peptidase inhibitor complex","GO:1904090",NA,"P04004",NA
"peptide metabolic process","GO:0006518","Q9ULA0",NA,NA
"peptidoglycan binding","GO:0042834","P01871","P01871, P01591","P01871, P01591"
"pericentric heterochromatin","GO:0005721","O75367","O75367",NA
"pericentric heterochromatin formation","GO:0031508","P84243","P84243","P84243"
"perikaryon","GO:0043204","P02511, P00966","P02511","P02511, P00966"
"perineuronal net","GO:0072534","P13611","P13611","P13611"
"perinuclear region of cytoplasm","GO:0048471","Q9NZN4, Q03135, P07942, P55072, Q14764, P05783, P08133","Q03135, Q14764, Q9NZN4, P08133, P07942, P55072","Q9NZN4, O14983, P07942, Q03135, P05783, P55072"
"peripheral nervous system development","GO:0007422","P12109","P12109","P12109"
"peroxidase activity","GO:0004601","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040","P68871, P69905, P05164, P04040"
"peroxisomal matrix","GO:0005782","P04040, O75874","P04040","P04040"
"peroxisomal membrane","GO:0005778","P04040, P33121","P04040, P10620, P33121","P04040"
"peroxisome","GO:0005777","P08670, P04040, P33121, O75874","P08670, P04040, P33121","P08670, P04040"
"phagocytic cup","GO:0001891","P04083","P04083",NA
"phagocytic vesicle","GO:0045335","P08670, O00159","P08246, P08670, O00159, P16671","P08246, P08670, O00159"
"phagocytic vesicle lumen","GO:0097013","P02788, P05164","P05164, P02788","P05164, P02788"
"phagocytosis","GO:0006909","P04083","P08246, P04083","P08246"
"phagocytosis, engulfment","GO:0006911",NA,"P16671",NA
"phagocytosis, recognition","GO:0006910",NA,"P16671",NA
"phenylalanine 4-monooxygenase activity","GO:0004505","P00439",NA,NA
"phosphatidylcholine binding","GO:0031210","P01871","P01871, P01591","P01871, P01591"
"phosphatidylcholine biosynthetic process","GO:0006656","P02647",NA,"P02647"
"phosphatidylcholine-sterol O-acyltransferase activator activity","GO:0060228","P02647",NA,"P02647"
"phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0043491","P12110, P12109, P12111","P12110, P12109, P12111","P12110, P12109, P12111"
"phosphatidylinositol-4,5-bisphosphate binding","GO:0005546","P07355","P07355","P07355"
"phosphatidylserine binding","GO:0001786","P07355, P08758, P04083, P08133","P07355, P08758, P08133, P04083","P07355, P08758"
"phosphocreatine biosynthetic process","GO:0046314",NA,NA,"P06732"
"phospholipase A2 inhibitor activity","GO:0019834","P07355, P04083","P07355, P04083","P07355"
"phospholipase C-activating G protein-coupled receptor signaling pathway","GO:0007200",NA,"P20160","P20160"
"phospholipase inhibitor activity","GO:0004859","P07355, P08758, P04083","P07355, P08758, P04083","P07355, P08758"
"phospholipid binding","GO:0005543","P08758, P04083, P02647","P08758, P04083","P08758, P02647"
"phospholipid efflux","GO:0033700","P02647",NA,"P02647"
"phospholipid homeostasis","GO:0055091","P02647",NA,"P02647"
"phospholipid metabolic process","GO:0006644","P02647",NA,"P02647"
"phosphopantetheine binding","GO:0031177","P49327","P49327","P49327"
"photoreceptor outer segment","GO:0001750","P13611","P13611","P13611"
"phytanate-CoA ligase activity","GO:0050197","P33121","P33121",NA
"pigment cell differentiation","GO:0050931",NA,"P08962",NA
"pigment granule maturation","GO:0048757",NA,"P08962",NA
"pigmentation","GO:0043473",NA,"P08962",NA
"plasma lipoprotein particle clearance","GO:0034381",NA,"P16671",NA
"plasma membrane","GO:0005886","P02675, P01871, Q16853, P02679, P02671, P49327, P02511, P07355, P00326, P08670, Q9NQC3, P02788, Q9NZN4, P98160, P01876, P00325, Q03135, P62979, P04264, P02751, O00159, Q00610, P04083, Q05469, P01859, O95197, P02647, P08133","P02675, P02679, P01871, P02671, Q16853, P02788, P02511, P62979, P07355, Q9NQC3, P01876, P00326, P04264, P08670, P49327, Q03135, P98160, Q9NZN4, P02751, P00325, P08133, O95197, O00159, P04083, P02730, P01619, P06312, P10620, P08962, P16671, P04216, O43866","P01871, P02675, P02511, P02788, P02679, Q16853, P08670, P04264, P02671, P49327, P00326, Q9NQC3, P07355, P98160, P01876, Q9NZN4, P06312, P01859, P01619, O43866, P62979, Q03135, P02751, O00159, P02647, P01624, P00325"
"plasma membrane bounded cell projection","GO:0120025","O00159","O00159","O00159"
"plasma membrane phospholipid scrambling","GO:0017121",NA,"P02730",NA
"plasma membrane protein complex","GO:0098797","P07355, P98160","P07355, P98160","P07355, P98160"
"plasma membrane tubulation","GO:0097320","Q9NZN4","Q9NZN4","Q9NZN4"
"plasminogen activation","GO:0031639","P02675, P02679, P02671","P02675, P02679, P02671","P02675, P02679, P02671"
"platelet activation","GO:0030168","P02675, P02679, P02671, P04275","P02675, P02679, P02671, P04275","P02675, P02679, P02671, P04275"
"platelet alpha granule","GO:0031091","P02675, P02679, P02671, P04275","P02675, P02679, P02671, P04275","P02675, P02679, P02671, P04275"
"platelet alpha granule lumen","GO:0031093","P02675, P02768, P02679, P01023, P02671, P04275, P02751","P02675, P02679, P02671, P02768, P01023, P04275, P02751","P02675, P02768, P01023, P02679, P02671, P04275, P02751"
"platelet alpha granule membrane","GO:0031092",NA,"P16671",NA
"platelet dense granule lumen","GO:0031089","Q08380","Q08380","Q08380"
"platelet dense granule membrane","GO:0031088",NA,"P08962",NA
"platelet dense tubular network membrane","GO:0031095",NA,NA,"O14983"
"platelet-derived growth factor binding","GO:0048407","P12109","P12109","P12109"
"poly-ADP-D-ribose modification-dependent protein binding","GO:0160004","O75367","O75367",NA
"polysaccharide binding","GO:0030247",NA,"P04004",NA
"polyubiquitin modification-dependent protein binding","GO:0031593","P55072","P55072","P55072"
"positive regulation of ATP biosynthetic process","GO:2001171","P55072","P55072","P55072"
"positive regulation of ATPase-coupled calcium transmembrane transporter activity","GO:1901896",NA,NA,"O14983"
"positive regulation of DNA repair","GO:0045739","P16104","P16104","P16104"
"positive regulation of ERAD pathway","GO:1904294","Q03135","Q03135","Q03135"
"positive regulation of ERBB3 signaling pathway","GO:1905580","Q9NQC3","Q9NQC3","Q9NQC3"
"positive regulation of G1/S transition of mitotic cell cycle","GO:1900087","P04083","P04083",NA
"positive regulation of GTPase activity","GO:0043547",NA,"P04216",NA
"positive regulation of MAP kinase activity","GO:0043406",NA,"P08246","P08246"
"positive regulation of MAPK cascade","GO:0043410",NA,"P16671",NA
"positive regulation of MHC class II biosynthetic process","GO:0045348",NA,"P20160","P20160"
"positive regulation of NF-kappaB transcription factor activity","GO:0051092","P02788","P02788","P02788"
"positive regulation of NLRP3 inflammasome complex assembly","GO:1900227",NA,"P16671",NA
"positive regulation of Rac protein signal transduction","GO:0035022","Q9NQC3","Q9NQC3","Q9NQC3"
"positive regulation of Rho protein signal transduction","GO:0035025","P02647",NA,"P02647"
"positive regulation of T cell activation","GO:0050870",NA,"P04216",NA
"positive regulation of T cell proliferation","GO:0042102","P04083","P04083",NA
"positive regulation of angiogenesis","GO:0045766","Q9NQC3","Q9NQC3, P16671","Q9NQC3"
"positive regulation of apoptotic process","GO:0043065","Q05639",NA,NA
"positive regulation of artery morphogenesis","GO:1905653","Q9NQC3","Q9NQC3","Q9NQC3"
"positive regulation of autophagy","GO:0010508","P07585","P07585","P07585"
"positive regulation of axon extension","GO:0045773","P02751","P02751","P02751"
"positive regulation of blood coagulation","GO:0030194",NA,"P16671",NA
"positive regulation of blood microparticle formation","GO:2000334",NA,"P16671",NA
"positive regulation of bone mineralization involved in bone maturation","GO:1900159","P02788","P02788","P02788"
"positive regulation of calcium ion import into sarcoplasmic reticulum","GO:1902082",NA,NA,"O14983"
"positive regulation of calcium ion transport into cytosol","GO:0010524","Q03135","Q03135","Q03135"
"positive regulation of canonical NF-kappaB signal transduction","GO:0043123","P02788, P60900, Q03135","P02788, Q03135, P60900, P16671","P02788, P60900, Q03135"
"positive regulation of canonical Wnt signaling pathway","GO:0090263","P55072","P55072","P55072"
"positive regulation of cardiac muscle cell contraction","GO:0106134",NA,NA,"O14983"
"positive regulation of cell adhesion","GO:0045785","P11047, P07942, P14543, P55268","P11047, P14543, P07942, P08962, P04216, P20160","P09493, P11047, P07942, P14543, P55268, P20160"
"positive regulation of cell division","GO:0051781","P04040","P04040","P04040"
"positive regulation of cell growth","GO:0030307","P84243","P84243","P84243"
"positive regulation of cell migration","GO:0030335","Q03135, P07942, O00159","Q03135, P07942, O00159","P07942, Q03135, O00159"
"positive regulation of cell migration involved in sprouting angiogenesis","GO:0090050","P04083","P04083",NA
"positive regulation of cell population proliferation","GO:0008284","P02751","P02751","P02751"
"positive regulation of cell-matrix adhesion","GO:0001954",NA,"P16671",NA
"positive regulation of cell-substrate adhesion","GO:0010811","P14543","P04004, P14543","P14543"
"positive regulation of cellular extravasation","GO:0002693",NA,"P04216",NA
"positive regulation of cellular response to insulin stimulus","GO:1900078","O00159","O00159","O00159"
"positive regulation of cholesterol metabolic process","GO:0090205","P02647",NA,"P02647"
"positive regulation of chondrocyte proliferation","GO:1902732","P02788","P02788","P02788"
"positive regulation of collagen biosynthetic process","GO:0032967","P08670","P08670","P08670"
"positive regulation of complement-dependent cytotoxicity","GO:1903661",NA,"O43866","O43866"
"positive regulation of cytosolic calcium ion concentration","GO:0007204",NA,"P16671",NA
"positive regulation of double-strand break repair via homologous recombination","GO:1905168","P16104","P16104","P16104"
"positive regulation of endocytic recycling","GO:2001137","Q9NZN4","Q9NZN4","Q9NZN4"
"positive regulation of endocytosis","GO:0045807",NA,"P08962",NA
