"name_1006","GO_IDs","F0","F4","Healthy"
"cerebral cortex radial glia-guided migration","GO:0021801","Q9NQC3","Q9NQC3","Q9NQC3"
"chemotaxis","GO:0006935",NA,"P20160","P20160"
"chloride transmembrane transport","GO:1902476",NA,"P02730",NA
"chloride transmembrane transporter activity","GO:0015108",NA,"P02730",NA
"chloride transport","GO:0006821",NA,"P02730",NA
"chloride:bicarbonate antiporter activity","GO:0140900",NA,"P02730",NA
"cholesterol binding","GO:0015485","Q03135, Q13790, P02647, P08133","Q03135, Q13790, P08133","Q03135, P02647"
"cholesterol biosynthetic process","GO:0006695","P02647",NA,"P02647"
"cholesterol efflux","GO:0033344","Q13790, P02647","Q13790","P02647"
"cholesterol metabolic process","GO:0008203","P04040, Q13790, Q05469, P02647","P04040, Q13790","P04040, P02647"
"cholesterol transport","GO:0030301","Q03135, P02647","Q03135, P16671","Q03135, P02647"
"chromatin","GO:0000785","P16104, P84243, O75367","P16104, P84243, O75367","P16104, P84243"
"chromatin DNA binding","GO:0031490","O75367","O75367",NA
"chromatin binding","GO:0003682","P05164, O75367","P05164, O75367","P05164"
"chromatin organization","GO:0006325","P62805, O75367","P62805, O75367","P62805"
"chromatin remodeling","GO:0006338","O00159","O00159","O00159"
"chromatin-protein adaptor activity","GO:0140463","P16104","P16104","P16104"
"chromosome","GO:0005694","P62805, P16104, Q5TEC6, P84243, O75367","P62805, P16104, Q5TEC6, P84243, O75367, Q8IUE6","P16104, P62805, Q5TEC6, P84243"
"chromosome organization involved in meiotic cell cycle","GO:0070192",NA,NA,"A2RUB1"
"chromosome, centromeric region","GO:0000775","P84243","P84243","P84243"
"chromosome, telomeric region","GO:0000781","P62805, P16104, P84243, O75367","P62805, P16104, P84243, O75367","P16104, P62805, P84243"
"chylomicron","GO:0042627","P02647",NA,"P02647"
"ciliary basal body","GO:0036064","P00326, P00325, P28070, P55072","P00326, P00325, P28070, P55072","P00326, P28070, P00325, P55072"
"cilium","GO:0005929","P00326, Q9BQE3, P68366, P60900, P00325, Q03135, P04083","P00326, Q9BQE3, Q03135, P60900, P68366, P00325, P04083","Q9BQE3, P00326, P60900, P68366, Q03135, P00325"
"cilium assembly","GO:0060271","Q9NZN4","Q9NZN4","Q9NZN4"
"circadian rhythm","GO:0007623","P00966, P12109","P12109","P00966, P12109"
"circulatory system development","GO:0072359","P98160","P98160","P98160"
"cis-stilbene-oxide hydrolase activity","GO:0033961","P07099","P07099","P07099"
"citrulline metabolic process","GO:0000052","P00966",NA,"P00966"
"clathrin coat","GO:0030118","Q00610",NA,NA
"clathrin coat assembly","GO:0048268","Q00610",NA,NA
"clathrin coat disassembly","GO:0072318","Q00610",NA,NA
"clathrin coat of coated pit","GO:0030132","Q00610",NA,NA
"clathrin coat of trans-Golgi network vesicle","GO:0030130","Q00610",NA,NA
"clathrin complex","GO:0071439","Q00610",NA,NA
"clathrin-coated endocytic vesicle","GO:0045334","Q00610",NA,NA
"clathrin-coated endocytic vesicle membrane","GO:0030669","Q00610",NA,NA
"clathrin-coated pit","GO:0005905","Q00610",NA,NA
"clathrin-coated vesicle","GO:0030136","Q00610",NA,NA
"clathrin-dependent endocytosis","GO:0072583","Q00610",NA,NA
"collagen binding","GO:0005518","P12110, P12109, P04275, P14543, P02751","P12110, P12109, P04275, P02751, P04004, P14543","P12110, P12109, P14543, P04275, P02751"
"collagen fibril organization","GO:0030199","P07355, P12109","P07355, P12109","P12109, P07355"
"collagen metabolic process","GO:0032963","P12109","P12109","P12109"
"collagen trimer","GO:0005581","P12110, P12109, P12111","P12110, P12109, P12111, P16671","P12110, P12109, P12111"
"collagen type VI trimer","GO:0005589","P12110, P12109, P12111","P12110, P12109, P12111","P12110, P12109, P12111"
"complement activation, classical pathway","GO:0006958","P01876, P01859","P01876","P01876, P01859"
"complement activation, lectin pathway","GO:0001867","P04264","P04264","P04264"
"condensed chromosome","GO:0000793","O75367","O75367",NA
"condensed nuclear chromosome","GO:0000794","P16104","P16104","P16104"
"contractile muscle fiber","GO:0043292","P02511","P02511","P05976, P02511"
"copper ion binding","GO:0005507","Q16853, P02768","Q16853, P02768","P02768, Q16853"
"cornified envelope","GO:0001533","P07355, P04264, P13645, P04083","P07355, P04264, P13645, P04083","P04264, P07355, P13645"
"cortical actin cytoskeleton organization","GO:0030866","Q9NZN4","Q9NZN4","Q9NZN4"
"cortical cytoskeleton","GO:0030863",NA,"P02730",NA
"creatine kinase activity","GO:0004111",NA,NA,"P06732"
"cysteine-type endopeptidase inhibitor activity","GO:0004869","P02788","P02788","P02788"
"cytokine binding","GO:0019955",NA,"P08246","P08246"
"cytokine-mediated signaling pathway","GO:0019221","Q03135","Q03135","Q03135"
"cytoplasm","GO:0005737","P02792, P63267, Q16853, Q562R1, P02768, P02794, P49327, P02511, P07355, P00326, P08670, Q9BQE3, P00966, P68366, P02788, Q9NZN4, P08758, P60900, P04040, P00325, O14818, P62979, P04264, P25789, P07942, P25786, P07437, Q9BUF5, Q9HAV0, O00159, Q8IYT4, P49721, P28070, Q00610, P28066, Q05639, P20618, P13645, Q9ULA0, P55072, Q14764, O75874, P07195, P04083, Q05469, P05783, P00338, P25788, P08133, P49720, P25787","P02792, Q16853, P63267, P02794, Q562R1, P02768, P02788, P02511, P62979, P08246, P07355, P00326, P04264, P08670, Q9BQE3, P08758, P49327, P60900, P68366, Q14764, O14818, Q9NZN4, P04040, P00325, P08133, P25789, P13645, Q8IYT4, P07942, P28070, O00159, P55072, P07437, P04083, P02730, Q9BUF5, P49721, Q9HAV0, P25786, P20618, P28066, O43866, P25788","P02792, Q9Y623, P13535, P63267, Q9UKX3, P02768, P02794, P02511, P00966, P12882, Q562R1, P02788, P08246, Q16853, P08670, P06732, P04264, Q9BQE3, P49327, P04040, P09493, P00326, P07355, P60900, P13645, P68032, Q9NZN4, P68366, O14818, Q8IYT4, P07942, P25789, P08758, O43866, P25786, P28070, P28066, P62979, A2RUB1, P07195, O00159, P07437, P28072, P49721, P00338, P05783, P20618, Q16851, P00325, Q9BUF5, P55072"
"cytoplasm protein quality control","GO:0140455","P55072","P55072","P55072"
"cytoplasmic actin-based contraction involved in cell motility","GO:0060327",NA,NA,"P68032"
"cytoplasmic microtubule","GO:0005881","Q9BQE3","Q9BQE3","Q9BQE3"
"cytoplasmic microtubule organization","GO:0031122","Q8IYT4","Q8IYT4","Q8IYT4"
"cytoplasmic ribonucleoprotein granule","GO:0036464","P07437","P07437","P12882, P07437"
"cytoplasmic side of plasma membrane","GO:0009898",NA,"P02730",NA
