"name_1006","GO_IDs","Proteins","NumProteins_Healthy","ONTOLOGY"
"uridylyltransferase activity","GO:0070569","UGPA",1,"MF"
"uterus development","GO:0060065","CO6A1",1,"BP"
"vascular endothelial growth factor signaling pathway","GO:0038084","MYO1C",1,"BP"
"vasculogenesis","GO:0001570","CAV1",1,"BP"
"vasoconstriction","GO:0042310","CAV1",1,"BP"
"ventricular cardiac muscle tissue morphogenesis","GO:0055010","TPM1",1,"BP"
"very-low-density lipoprotein particle","GO:0034361","APOA1",1,"CC"
"vesicle budding from membrane","GO:0006900","ANXA2",1,"BP"
"vesicle organization","GO:0016050","CAV1",1,"BP"
"vesicle transport along actin filament","GO:0030050","MYO1C",1,"BP"
"vesicle-mediated transport","GO:0016192","LG3BP",1,"BP"
"viral genome replication","GO:0019079","TERA",1,"BP"
"visual perception","GO:0007601","LAMB2",1,"BP"
"vitamin transport","GO:0051180","APOA1",1,"BP"
"xenobiotic metabolic process","GO:0006805","HYEP",1,"BP"
"zymogen activation","GO:0031638","HPT",1,"BP"
