"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"GTP binding","GO:0005525","TBA1C - TBA4A - EHD2 - TBB5 - TBB6 - EF1A2 - ANXA6",7,"MF"
"cilium","GO:0005929","ADH1G - TBA1C - TBA4A - PSA6 - ADH1B - CAV1 - ANXA1",7,"CC"
"cytoplasmic vesicle","GO:0031410","FRIL - FRIH - CAV1 - MYO1C - CLH1 - ANXA1 - APOA1",7,"CC"
"negative regulation of apoptotic process","GO:0043066","CRYAB - TRFL - PERM - ANXA5 - CATA - ANXA1 - K1C18",7,"BP"
"perinuclear region of cytoplasm","GO:0048471","EHD2 - CAV1 - LAMB1 - TERA - MVP - K1C18 - ANXA6",7,"CC"
"platelet alpha granule lumen","GO:0031093","FIBB - ALBU - FIBG - A2MG - FIBA - VWF - FINC",7,"CC"
"proteasome core complex, alpha-subunit complex","GO:0019773","PSA6 - PSA7 - PSA4 - PSA1 - PSA5 - PSA3 - PSA2",7,"CC"
"protein kinase binding","GO:0019901","ACTBL - TBA4A - CAV1 - CLH1 - EF1A2 - MVP - H2AY",7,"MF"
"adaptive immune response","GO:0002250","FIBB - IGHM - FIBA - IGHA1 - ANXA1 - IGHG2",6,"BP"
"cell-matrix adhesion","GO:0007160","FIBB - FIBG - FIBA - ANXA2 - NID1 - FINC",6,"BP"
"early endosome","GO:0005769","AOC3 - ANXA2 - TRFL - EHD2 - ANXA1 - APOA1",6,"CC"
"extracellular vesicle","GO:1903561","FIBB - FIBA - CO6A2 - CO6A3 - CLH1 - APOA1",6,"CC"
"lysosome","GO:0005764","FRIL - FRIH - CRYAB - CO6A1 - PERM - CLH1",6,"CC"
"osteoblast differentiation","GO:0001649","H33 - FAS - CO6A1 - CATA - CLH1 - CSPG2",6,"BP"
"Golgi apparatus","GO:0005794","AOC3 - ALBU - FAS - CAV1 - RTN3",5,"CC"
"azurophil granule lumen","GO:0035578","FRIL - ANXA2 - PERM - TBB5 - TERA",5,"CC"
"blood coagulation","GO:0007596","FIBB - FIBG - FIBA - ANXA5 - VWF",5,"BP"
"catalytic activity","GO:0003824","FAS - HYEP - PH4H - LDHB - LDHA",5,"MF"
"cell projection","GO:0042995","VIME - RTN4 - MYO1C - ANXA1 - CSPG2",5,"CC"
"cellular oxidant detoxification","GO:0098869","HBB - HBA - ALBU - HPT - CATA",5,"BP"
"chromosome","GO:0005694","H4 - H2AX - H37 - H33 - H2AY",5,"CC"
"collagen binding","GO:0005518","CO6A2 - CO6A1 - VWF - NID1 - FINC",5,"MF"
"endosome","GO:0005768","ANXA2 - EHD2 - CAV1 - CLH1 - ANXA1",5,"CC"
"fibrinolysis","GO:0042730","FIBB - FIBG - FIBA - ANXA2 - K2C1",5,"BP"
"hemostasis","GO:0007599","FIBB - FIBG - FIBA - ANXA5 - VWF",5,"BP"
